Marca temporal,FECHA DE REGISTRO,RESPONSABLE,PROVEEDOR,TIPO DE EQUIPO,MODELOS,Modelo del equipo,numero de serie,MODELO DEL PROCESADOR Y FRECUENCIA EN GHZ,GENERACION,NUCLEOS,SISTEMA OPERATIVO,TOUCH,RAM SOLDADA?,RAM TOTAL DEL EQUIPO PREPARADO,TIPO DE RAM,CAPACIDAD DE EXPANSION RAM [CAPACIDAD DE EXPANSION],CANTITDAD DE SLOTS [CANTIDAD],CANTIDAD [CANTIDAD DE RAM SOLDADA],PULGADAS DEL MONITOR,TIPO DE MONITOR,RESOLUCION,ALMACENAMIENTO [PRINCIPAL],ALMACENAMIENTO [SECUNDARIO],TIPO DE DISCOS [PRINCIPAL],TIPO DE DISCOS [SECUNDARIO],SLOTS ALMACENAMIENTO [SSD],SLOTS ALMACENAMIENTO [M.2],SLOTS ALMACENAMIENTO [M.2 MICRO],SLOTS ALMACENAMIENTO [HDD],SLOTS ALMACENAMIENTO [MSATA],縏IENE PUERTO ETHERNET?,縀S GIGABYTE?,"Puertos  de conectividad
",DISPOSITIVOS DE ENTRADA,IDIOMA DEL TECLADO, [HDMI], [MINI HDMI], [VGA], [DVI], [DISPLAYPORT], [MINI DP], [USB 2.0]," [USB 3,0]", [USB 3.1], [USB 3.2], [USB TIPO C],LECTORES [SD],LECTORES [SC],LECTORES [ESATA],LECTORES [Tarjeta SIM],縏IENE BATERIA?,CANTIDAD DE BATERIAS [CANTIDAD DE BATERIA],CONDICION DE LA BATERIA,TIENE TARJETA  DEDICADA?,MODELO DE TARJETA DEDICADA,Cantidad de VRAM,MODELO DE LA TARJETA INTEGRADA,AREA DE TIENDA,DETALLES ESTETICOS,DETALLES DE FUNCIONAMIENTO,Columna 61,ENTRADAS DE MONITOR [HDMI],ENTRADAS DE MONITOR [VGA],ENTRADAS DE MONITOR [DVI],ENTRADAS DE MONITOR [DISPLAYPORT],ENTRADAS DE MONITOR [USB 2.0],"ENTRADAS DE MONITOR [USB 3,0]",ENTRADAS DE MONITOR [USB 3.1],ENTRADAS DE MONITOR [USB 3.2],ENTRADAS DE MONITOR [USB TIPO C],DETALLES DE FUNCIONAMIENTO,DETALLES ESTETICOS,RAM TOTAL DEL EQUIPO PREPARADO
10/9/2025 9:45:22,09/10/2025,MARCOS,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90SXFY3,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,"MARCAS DE TECLADO EN PANTALLA, RAYONES CARCASA INFERIOR",N/A,,,,,,,,,,,,,
10/9/2025 9:50:53,09/10/2025,MARCOS,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90RG9ZE,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,"MARCAS DE TECLADO EN PANTALLA, RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR",N/A,,,,,,,,,,,,,
10/9/2025 9:56:12,09/10/2025,MARCOS,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90SXHG7,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR, DESGASTE DE CARCASA TECLADO",N/A,,,,,,,,,,,,,
10/9/2025 9:57:43,09/10/2025,SANTIAGO,TCG,LAPTOP,DELL LATITUDE,5490,7FLQZY2,I5-8350U 1.7 GHZ ,4TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,14创,RIGIDO,1366 x 768,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH",CAMARA WEB,INGLES,1,0,1,0,0,0,0,0,3,0,1,SI,NO,NO,NO,SI,1 INTERNA,BUENA(>60%),NO,,,UHD GRAPHICS 620,,"RAYONES CARCASA INFERIOR, DESGASTE DE CARCASA SUPERIOR E INFERIOR, N/A",N/A,,,,,,,,,,,,,
10/9/2025 9:59:32,09/10/2025,MARCOS,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90RG9Q8,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR",N/A,,,,,,,,,,,,,
10/9/2025 10:06:01,09/10/2025,MARCOS,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90RG9XQ,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,"MARCAS DE TECLADO EN PANTALLA, RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR",N/A,,,,,,,,,,,,,
10/9/2025 10:06:38,09/10/2025,SANTIAGO,TCG,LAPTOP,DELL LATITUDE,5490,2PH97Y2,I5-8250U 1.6 GHZ ,8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,14创,RIGIDO,1366 x 768,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH",CAMARA WEB,INGLES,1,0,1,0,0,0,0,0,3,0,1,SI,NO,NO,NO,SI,1 INTERNA,BUENA(>60%),NO,,,UHD GRAPHICS 620,,RAYONES CARCASA INFERIOR,N/A,,,,,,,,,,,,,
10/9/2025 10:09:18,09/10/2025,MARCOS,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90SZ4C1,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR",N/A,,,,,,,,,,,,,
10/9/2025 10:13:19,09/10/2025,SANTIAGO,TCG,LAPTOP,DELL LATITUDE,5490,JDY07Y2,I5-8250U 1.6 GHZ ,8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,14创,RIGIDO,1366 x 768,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH",CAMARA WEB,INGLES,1,0,1,0,0,0,0,0,3,0,1,SI,NO,NO,NO,SI,1 INTERNA,BUENA(>60%),NO,,,UHD GRAPHICS 620,,RAYONES CARCASA INFERIOR,N/A,,,,,,,,,,,,,
10/9/2025 10:14:48,09/10/2025,MARCOS,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90RGA10,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR",N/A,,,,,,,,,,,,,
10/9/2025 10:29:23,09/10/2025,SANTIAGO,TCG,LAPTOP,DELL LATITUDE,5490,JG4QWT2,I5-8250U 1.6 GHZ ,8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,14创,RIGIDO,1366 x 768,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH",CAMARA WEB,INGLES,1,0,1,0,0,0,0,0,3,0,1,SI,NO,NO,NO,SI,1 INTERNA,BUENA(>60%),NO,,,UHD GRAPHICS 620,,DESGASTE DE CARCASA SUPERIOR E INFERIOR,N/A,,,,,,,,,,,,,
10/9/2025 10:35:55,09/10/2025,SANTIAGO,TCG,LAPTOP,DELL LATITUDE,5490,7YWP6Y2,I5-8250U 1.6 GHZ ,8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,14创,RIGIDO,1366 x 768,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH",CAMARA WEB,INGLES,1,0,1,0,0,0,0,0,3,0,1,SI,NO,NO,NO,SI,1 INTERNA,BUENA(>60%),NO,,,UHD GRAPHICS 620,,GRIETAS LEVES CARCASA INFERIOR,N/A,,,,,,,,,,,,,
10/9/2025 10:39:33,09/10/2025,SANTIAGO,TCG,LAPTOP,DELL LATITUDE,5490,J9NRWT2,I5-8250U 1.6 GHZ ,8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,14创,RIGIDO,1366 x 768,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH",CAMARA WEB,INGLES,1,0,1,0,0,0,0,0,3,0,1,SI,NO,NO,NO,SI,1 INTERNA,BUENA(>60%),NO,,,UHD GRAPHICS 620,,RAYONES CARCASA INFERIOR,N/A,,,,,,,,,,,,,
10/9/2025 10:42:27,09/10/2025,SANTIAGO,TCG,LAPTOP,DELL LATITUDE,5490,834P7Y2,I5-8250U 1.6 GHZ ,8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,14创,RIGIDO,1366 x 768,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH",CAMARA WEB,INGLES,1,0,1,0,0,0,0,0,3,0,1,SI,NO,NO,NO,SI,1 INTERNA,BUENA(>60%),NO,,,UHD GRAPHICS 620,,RAYONES CARCASA INFERIOR,N/A,,,,,,,,,,,,,
10/9/2025 16:23:41,09/10/2025,AARON,TCG,LAPTOP,DELL LATITUDE,5590,SWKNNV2,"i5-8250U, 1.60GHz",8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,15.6创,RIGIDO,1920 x 1080,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO EXTENDIDO, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,0,3,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,INTEL UHD GRAPHICS 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR, MOUSE PAD DESGASTE LEVE",N/A,,,,,,,,,,,,,
10/9/2025 16:27:12,09/10/2025,AARON,TCG,LAPTOP,DELL LATITUDE,5590,HR0D3X2,"i5-8250U, 1.60GHz",8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,15.6创,RIGIDO,1920 x 1080,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO EXTENDIDO, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,0,3,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,INTEL UHD GRAPHICS 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR",N/A,,,,,,,,,,,,,
10/9/2025 16:31:44,09/10/2025,AARON,TCG,LAPTOP,DELL LATITUDE,5590,269P5S2,"i5-8250U, 1.60GHz",8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,15.6创,RIGIDO,1920 x 1080,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO EXTENDIDO, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,0,3,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,INTEL UHD GRAPHICS 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR","LIGERA DISTORCION BOCINA DERECHA, NO FUNCIONA UN PUERTO USB",,,,,,,,,,,,,
10/9/2025 16:36:37,09/10/2025,AARON,TCG,LAPTOP,DELL LATITUDE,5590,29QL5S2,"i5-8250U, 1.60GHz",8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,15.6创,RIGIDO,1920 x 1080,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO EXTENDIDO, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,0,3,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,INTEL UHD GRAPHICS 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR","LIGERA DISTORCION BOCINA DERECHA, N/A",,,,,,,,,,,,,
10/9/2025 16:40:44,09/10/2025,AARON,TCG,LAPTOP,DELL LATITUDE,5590,9J7TNV2,"i5-8250U, 1.60GHz",8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,15.6创,RIGIDO,1920 x 1080,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO EXTENDIDO, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,0,3,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,INTEL UHD GRAPHICS 620,,"RAYONES PANTALLA LEVES, RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR, MOUSE PAD DESGASTE LEVE",LIGERA DISTORCION BOCINA DERECHA,,,,,,,,,,,,,
10/9/2025 17:40:48,09/10/2025,ALEJANDRA,TCG,LAPTOP,DELL LATITUDE,5500,H43W633,i5-8365U 1.60GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,NO,NO,16GB,DDR4,32GB,2,,15.6创,RIGIDO,1366 x 768,512GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,SI,SI,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO EXTENDIDO, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,0,3,0,1,SI,SI,NO,NO,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR",N/A,,,,,,,,,,,,,
